X,Y,1720
-11,63,512.58415
0,63,513.56074
11,63,505.531
32,55,508.89481
21,55,515.83945
11,55,511.49905
0,55,516.49051
-11,55,513.01819
-21,55,515.07988
-32,55,511.49905
-43,46,516.49051
-32,46,510.41395
-21,46,515.40541
-11,46,515.18839
0,46,513.56074
11,46,517.14157
21,46,512.69266
32,46,511.93309
43,46,508.24375
53,38,507.15865
43,38,510.52246
32,38,505.96504
21,38,512.47564
11,38,519.09475
0,38,511.17352
-11,38,517.57561
-21,38,511.71607
-32,38,513.66925
-43,38,526.03939
-53,38,513.34372
-53,29,515.40541
-43,29,524.30323
-32,29,513.66925
-21,29,511.49905
-11,29,517.79263
0,29,517.79263
11,29,518.87773
21,29,520.17985
32,29,510.41395
43,29,508.67779
53,29,515.73094
53,21,518.5522
43,21,509.00332
32,21,510.19693
21,21,521.91601
11,21,516.382
0,21,518.87773
-11,21,517.03306
-21,21,522.24154
-32,21,512.36713
-43,21,515.40541
-53,21,532.44148
-64,13,517.68412
-53,13,519.85432
-43,13,513.34372
-32,13,520.39687
-21,13,518.98624
-11,13,520.39687
0,13,516.92455
11,13,532.98403
21,13,524.08621
32,13,509.97991
43,13,510.30544
53,13,514.32031
64,13,513.66925
64,4,515.40541
53,4,516.382
43,4,510.9565
32,4,509.54587
21,4,523.32664
11,4,516.70753
0,4,516.382
-11,4,516.27349
-21,4,517.68412
-32,4,514.2118
-43,4,516.382
-53,4,522.56707
-64,4,515.94796
-64,-4,516.92455
-53,-4,518.87773
-43,-4,523.65217
-32,-4,513.77776
-21,-4,516.382
-11,-4,519.74581
0,-4,519.6373
11,-4,516.59902
21,-4,516.05647
32,-4,509.76289
43,-4,516.382
53,-4,515.2969
64,-4,517.35859
64,-13,509.76289
53,-13,522.24154
43,-13,513.23521
32,-13,510.9565
21,-13,523.65217
11,-13,520.61389
0,-13,523.32664
-11,-13,517.4671
-21,-13,519.20326
-32,-13,512.47564
-43,-13,520.7224
-53,-13,523.10962
-64,-13,512.69266
-64,-21,511.39054
-53,-21,520.39687
-43,-21,532.98403
-32,-21,517.90114
-21,-21,515.73094
-11,-21,523.21813
0,-21,519.09475
11,-21,524.30323
21,-21,519.74581
32,-21,512.58415
43,-21,515.40541
53,-21,523.9777
64,-21,494.68
53,-29,514.10329
43,-29,515.18839
32,-29,515.83945
21,-29,517.25008
11,-29,517.79263
0,-29,517.35859
-11,-29,524.08621
-21,-29,511.60756
-32,-29,517.03306
-43,-29,536.34784
-53,-29,523.43515
-53,-38,518.44369
-43,-38,530.27128
-32,-38,515.2969
-21,-38,506.94163
-11,-38,525.71386
0,-38,521.59048
11,-38,518.76922
21,-38,519.96283
32,-38,521.91601
43,-38,514.10329
53,-38,504.87994
43,-46,515.73094
32,-46,521.15644
21,-46,518.44369
11,-46,518.98624
0,-46,523.43515
-11,-46,521.91601
-21,-46,514.10329
-32,-46,518.98624
-43,-46,526.58194
-32,-55,518.66071
-21,-55,519.31177
-11,-55,518.00965
0,-55,521.69899
11,-55,518.5522
21,-55,523.86919
32,-55,510.9565
